set,set_name,id,statement,source_page,type,expected_split,chars
C,Reciprocity and the terms of reuse,C-09,Accepting usage data from AI platforms would make Wikimedia's editorial priorities dependent on commercial partners.,41,diagnostic,divisive,116
C,Reciprocity and the terms of reuse,C-10,Access to Wikimedia content at scale should be conditional on meeting reciprocity requirements.,57,policy,divisive,95
C,Reciprocity and the terms of reuse,C-11,"Wikimedia should apply the same reuse conditions to every AI developer, rather than negotiating agreements one at a time.",51,policy,divisive,121
C,Reciprocity and the terms of reuse,C-12,Reciprocity agreements negotiated company by company will not shift the norms of the wider ecosystem.,51,diagnostic,lean,101
C,Reciprocity and the terms of reuse,C-13,Wikimedia should seek a seat in the bodies that set AI ecosystem protocols such as MCP.,"42, 60",policy,lean,87
C,Reciprocity and the terms of reuse,C-14,"Wikimedia should publish rules covering how it collects, documents, and licenses the datasets it creates.",60,policy,consensus,105
D,Interface agency,D-01,"Wikimedia should build interfaces through which readers reach the commons directly, rather than relying on search engines and AI assistants.",56,policy,divisive,140
D,Interface agency,D-02,Building reader-facing AI interfaces falls outside the mission of an encyclopedia project.,56,value,divisive,90
D,Interface agency,D-03,Delegating the reader-facing interface to search engines was a reasonable choice during the search era.,"12, 56",diagnostic,lean,103
D,Interface agency,D-04,Wikimedia will lose its direct relationship with readers unless it operates an interface of its own.,56,diagnostic,divisive,100
D,Interface agency,D-05,Any AI interface Wikimedia builds should send readers to Wikipedia articles rather than answering in place of them.,56,policy,lean,115
D,Interface agency,D-06,An AI interface that answers readers' questions directly would reduce the number of people who go on to edit.,56,diagnostic,lean,109
D,Interface agency,D-07,Wikimedia should support several competing AI interfaces rather than building one official product.,56,policy,lean,99
D,Interface agency,D-08,Wikimedia should build its own conversational AI assistant.,56,policy,divisive,59
D,Interface agency,D-09,Building AI interfaces would divert resources from maintaining the encyclopedia itself.,62,diagnostic,divisive,87
D,Interface agency,D-10,Wikimedia's credibility with readers depends on it not being seen as a company that builds AI products.,56,diagnostic,divisive,103
D,Interface agency,D-11,"Readers who receive accurate Wikipedia-derived answers from an AI assistant are being served well, even when they never visit Wikipedia.",56,value,divisive,136
D,Interface agency,D-12,Wikimedia should aim to be one of the main interfaces through which people reach knowledge by 2030.,56,policy,divisive,99
D,Interface agency,D-13,Wikimedia should build AI interfaces jointly with public AI developers rather than on its own.,56,policy,lean,94
E,The Wiki AI technical stack,E-01,Wikimedia should publish machine-readable signals about the editorial quality and review state of its content.,62,policy,consensus,110
E,The Wiki AI technical stack,E-02,Wikimedia should develop Wikidata as the primary structured knowledge layer that AI systems draw on.,61,policy,lean,100
E,The Wiki AI technical stack,E-03,Wikimedia should fund a technical environment for AI experimentation that is separate from production infrastructure.,62,policy,lean,117
E,The Wiki AI technical stack,E-04,Wikimedia's production infrastructure is poorly suited to rapid experimentation with AI tools.,62,diagnostic,lean,94
E,The Wiki AI technical stack,E-05,A state-of-the-art open AI model is a prerequisite for the rest of Wikimedia's AI strategy.,62,diagnostic,divisive,91
E,The Wiki AI technical stack,E-06,"Wikimedia should contribute training data and reciprocity standards to public AI models built by partners, rather than training a model itself.",62,policy,lean,143
E,The Wiki AI technical stack,E-07,Wikimedia should withhold its name from AI models whose behaviour it cannot control.,"43, 62",policy,divisive,84
E,The Wiki AI technical stack,E-08,Wikimedia should develop Wikimedia Enterprise into the main channel through which AI systems reach its content.,61,policy,divisive,111
E,The Wiki AI technical stack,E-09,Wikimedia should recruit content partners specifically to supply data that AI systems currently lack.,61,policy,lean,101
E,The Wiki AI technical stack,E-10,"Wikimedia should fund crowdsourced collection of scarce data types, such as recordings of spoken language.",61,policy,lean,106
E,The Wiki AI technical stack,E-11,Wikimedia should prioritise AI tools that support existing editors over tools that serve readers.,"59, 63",policy,divisive,97
E,The Wiki AI technical stack,E-12,Building AI tools for editors will accelerate the decline in the number of active editors.,"39, 45",diagnostic,divisive,90
E,The Wiki AI technical stack,E-13,Wikimedia should adopt machine learning models built by others rather than developing that capacity in-house.,62,policy,divisive,109
E,The Wiki AI technical stack,E-14,Wikimedia's AI technology roadmap should follow the Global Majority Technology Priorities set in 2024.,64,policy,lean,102
F,Collective intelligence and community health,F-01,"Wikimedia's distinctive value lies in the human process that produces its content, rather than in the content itself.","39, 44",value,lean,117
F,Collective intelligence and community health,F-02,AI tools should help editors reach judgments rather than make editorial judgments in their place.,40,policy,consensus,97
F,Collective intelligence and community health,F-03,Editors should be permitted to use AI tools to draft article text.,60,policy,divisive,66
F,Collective intelligence and community health,F-04,AI-generated content submitted without disclosure damages the reliability of Wikipedia.,"22, 35",diagnostic,consensus,87
F,Collective intelligence and community health,F-05,Wikipedia should require editors to disclose when they have used AI tools to produce content.,60,policy,lean,93
F,Collective intelligence and community health,F-06,The decline in new editors is driven mainly by falling reader traffic rather than by conditions inside the editing community.,"12, 21",diagnostic,divisive,125
F,Collective intelligence and community health,F-07,Recruiting new editors should take priority over developing AI technology.,"40, 65",policy,divisive,74
F,Collective intelligence and community health,F-08,Volunteer editors should hold a formal role in deciding Wikimedia's AI strategy.,"53, 65",policy,lean,80
F,Collective intelligence and community health,F-09,Wikimedia's AI response should be led by institutional staff rather than by volunteers.,65,policy,divisive,87
F,Collective intelligence and community health,F-10,Wikimedia communities respond to sudden influxes of readers by protecting articles rather than by recruiting contributors.,16,diagnostic,divisive,122
F,Collective intelligence and community health,F-11,"Wikimedia should design AI-related volunteer tasks that people find worth doing, rather than tasks that mainly involve repetitive review.",65,policy,consensus,137
F,Collective intelligence and community health,F-12,Automating editorial work with AI will narrow the range of viewpoints represented on Wikipedia.,40,diagnostic,divisive,95
F,Collective intelligence and community health,F-13,Wikipedia's model of negotiated consensus among editors cannot be reproduced by an AI system.,"15, 36",value,lean,93
F,Collective intelligence and community health,F-14,Wikimedia should accept a smaller editing community if AI tools let it maintain the same quality of content.,39–40,value,divisive,108
G,Equity and the Global Majority,G-01,Machine traffic makes up a larger share of total traffic on small-language Wikipedias than on the largest ones.,35,diagnostic,lean,111
G,Equity and the Global Majority,G-02,Small-language Wikipedias matter to AI developers because they are often the only structured source in those languages.,35,diagnostic,consensus,119
G,Equity and the Global Majority,G-03,The communities maintaining small-language Wikipedias have the least capacity to respond to pressure from AI systems.,35,diagnostic,consensus,117
G,Equity and the Global Majority,G-04,Uncorrected machine translation has become a serious problem for several African-language Wikipedias.,35,diagnostic,lean,101
G,Equity and the Global Majority,G-05,Wikimedia should be willing to close a language project when AI-generated content threatens the integrity of that language.,35,policy,divisive,123
G,Equity and the Global Majority,G-06,AI systems trained on Wikimedia freeze the movement's existing gaps in coverage into global default knowledge.,36,diagnostic,lean,110
G,Equity and the Global Majority,G-07,Wikimedia should commit a fixed share of its AI investment to Global Majority communities.,37,policy,divisive,90
G,Equity and the Global Majority,G-08,Technical solutions designed for well-resourced communities will widen inequality within the movement by default.,37,diagnostic,divisive,113
G,Equity and the Global Majority,G-09,"Solutions built for Global Majority communities will also serve Global North communities, while the reverse does not hold.",37,value,divisive,122
G,Equity and the Global Majority,G-10,"Global Majority partners should hold decision-making authority over the AI mission, not only a role in delivering it.",37,policy,divisive,117
G,Equity and the Global Majority,G-11,Directing AI investment by geography would slow the movement's technical progress overall.,37,diagnostic,divisive,90
G,Equity and the Global Majority,G-12,Removing legal barriers to reuse has not produced equity in access to knowledge.,37,diagnostic,lean,80
G,Equity and the Global Majority,G-13,Wikimedia's citation and verifiability policies exclude forms of knowledge that are not published in writing.,36,diagnostic,divisive,109
G,Equity and the Global Majority,G-14,Wikipedia should accept oral sources as citations on topics where written sources do not exist.,36,policy,divisive,95
H,"Coordination, resourcing, and venue",H-01,No single Wikimedia organisation can carry out an AI strategy for the movement on its own.,64,diagnostic,consensus,90
H,"Coordination, resourcing, and venue",H-02,The Wikimedia Foundation should lead the movement's response to AI.,64,policy,divisive,67
H,"Coordination, resourcing, and venue",H-03,"A coordinating body spanning movement entities, volunteers, and outside partners should be established for AI work.",64,policy,lean,115
H,"Coordination, resourcing, and venue",H-04,Creating another movement-wide coordinating body will produce meetings rather than results.,64,diagnostic,divisive,91
H,"Coordination, resourcing, and venue",H-05,The Wikimedia Endowment should provide seed funding for the movement's AI work.,66,policy,lean,79
H,"Coordination, resourcing, and venue",H-06,"AI work should be funded jointly by several organisations, so that no single funder sets its direction.",65,policy,lean,103
H,"Coordination, resourcing, and venue",H-07,Movement organisations should fund AI work from core budgets rather than through grants.,66,policy,lean,88
H,"Coordination, resourcing, and venue",H-08,Smaller Wikimedia affiliates can move faster on AI experimentation than the largest organisations.,64,diagnostic,lean,98
H,"Coordination, resourcing, and venue",H-09,"Wikimedia should partner with public AI developers such as Apertus, OLMo, and Pleias.","43, 65",policy,lean,85
H,"Coordination, resourcing, and venue",H-10,Partnering with named AI developers would compromise Wikimedia's standing as a neutral source.,43,diagnostic,divisive,94
H,"Coordination, resourcing, and venue",H-11,Movement leaders should take public positions in external debates about AI governance.,66,policy,divisive,86
H,"Coordination, resourcing, and venue",H-12,Wikimedia should present a position on AI governance at the 2027 Geneva AI Summit.,67,policy,lean,82
H,"Coordination, resourcing, and venue",H-13,Wikimedia CH should open space for the movement to act in Switzerland rather than lead the work itself.,67,policy,lean,103
H,"Coordination, resourcing, and venue",H-14,Wikimedia should spend the next two years building agreement across the movement before committing to a technical direction.,68–69,policy,divisive,124
